MIS SESENTA CLASES, AUDITOR DE LA VUELTA 196, ESCRITAS ANTES DE ABRIR EL DESTAPE
Y ANTES DE LEER EL CUERPO DE REPORTE.md.
Sujeto: docs/loop/_auditor_v196_ciega_blind.txt, sellado en
docs/loop/SELLO_APERTURA_AUDITOR_V196.json con prohibidos_antes_del_sello = 0.
Vara: docs/BANCO_DE_TEXTOS.md 9.6.1 (LA LINEA O EL PROCEDIMIENTO), con la
advertencia de que es SUELO y no TECHO: primero se pregunta si el par tiene
regla propia de familia.
Leyenda: A REPITE, B DUDOSO, C SANO CON FIGURA, D SANO LIMPIO.

DOS PUESTOS QUEMADOS, Y LOS DECLARO ANTES DE CONTAR NADA: el 654 y el 719.
docs/loop/PROMPT_SIGUIENTE.md, que es el encargo y hay que leerlo para saber que
se audita, PUBLICA SU CLASE DE ARCHIVO: del 654 dice "dos listas del mismo paso
del embudo, cruzadas en el medio" al explicar la B que faltaba, y del 719 dice
"yo llame A a lo que es D". Los leo igual y los clasifico igual, pero SALEN DEL
COTEJO DE CREDITO: un puesto cuya clase ya me dijeron no prueba que yo lea bien.

puesto | clase | discutible | por que, en una linea
398  | D |   | orden de comunicacion tras una salida ejecutiva contra proceso de despidos masivos
613  | D |   | A desarrolla los pasos 5 y 6 del plan con procedimiento propio: escalas, cruce, umbrales y ubicacion de cada riesgo
614  | A |   | los CUATRO pasos de A estan en B, dos de ellos literales (las 6 preguntas de Chopra y Meindl, y la validacion de coherencia)
654  | B | X | QUEMADO. Dos listas del mismo paso del embudo: A por correo y llamada, B por web; se cruzan en la prueba gratuita y ninguna nombra a la otra
655  | A | X | filosofia_customer_validation contra filosofia_validacion_clientes: el mismo nodo traducido; lo que B anade (no montar equipo de ventas) cabe en una linea
719  | D | X | QUEMADO. Bienvenida post compra contra celebracion de un logro: fases distintas de la serie, y por el 595 dos fases distintas son sanas
720  | D |   | el rol del fundador en la busqueda contra el plan de sucesion entero: A trae procedimiento propio (screening, veto, numero de entrevistadores)
880  | A |   | B esta contenido en A: su paso 5 es literal el paso 8 de A, y lo unico suyo, que se reconozca en publico, cabe en una linea
881  | D |   | el diccionario de la WBS contra como se construye la WBS: dos artefactos distintos del mismo metodo
908  | A |   | los cuatro pasos calzan uno a uno: mercado, dolores, capacidades propias, solucion de sistema; lo unico distinto, emergente contra existente, cabe en una linea
910  | D |   | A mapea la industria y B desarrolla su paso 1, el VoC, con procedimiento propio (observar en contexto, indagar el porque, documentar ahas)
973  | D |   | A recoge datos y B desarrolla su paso 15, personalizar, con procedimiento propio (sorpresas, grupos de interes, eventos)
974  | D |   | DSO y DPO como par de capital de trabajo contra la gestion de cobranza: comparten mirar el DSO y nada mas
975  | D |   | postura sobre como se vende contra lista de comprobacion del encaje problema-solucion
976  | D | X | identificar asesores contra formalizarlos: fases distintas del mismo proceso, con compensacion y cadencia solo en A
1070 | D |   | hipotesis de segmentos contra la puerta de PMF: A define y B decide pasar de fase
1071 | D |   | tamano del equipo fundador contra relacion previa: dos ejes distintos con estructura parecida
1206 | D | X | comparten no presionar el cierre, pero B condiciona por complejidad de la venta y reasigna el esfuerzo a la investigacion: dude entre D y B
1207 | D |   | abandonar el plan de negocio contra disenar el experimento: postura contra procedimiento
1372 | D |   | garantias implicitas contra prohibicion de ventas atadas: dos asuntos distintos de la misma ley
1373 | D |   | cuentas por cobrar contra clasificacion de pasivos: activo contra pasivo
1807 | D | X | compra de energia (PPA, broker, tarifas, excedente) contra mix de fuentes (in situ, RECs): se cruzan en el biogas, pero cada uno trae procedimiento propio
1808 | D | X | programas y canales de ideas contra ejemplo, competencias internas y senaletica: nombres casi gemelos y tacticas distintas
1818 | A |   | los TRES pasos de B estan en A y el tercero es literal: presentar a stakeholders la vision de ser 100% bueno
1819 | D |   | empaque contra modo de transporte: dos palancas distintas de la misma huella
2031 | D |   | B es la documentacion de exportacion entera y A desarrolla el COO con procedimiento propio (tratado, formulario, copias, idioma)
2032 | D |   | el metodo por pasos contra la nomina de fuentes: la madre no trae las fuentes y el hijo no trae el metodo
2158 | D |   | registro estatal de franquicia contra revision legal del material promocional
2159 | D |   | crecimiento desde los franquiciados actuales contra velocidad de saturacion territorial
2427 | D | X | A son las cautelas del calculo (capex/opex, muestreo, sensibilidad) y B es el calculo; se cruzan solo en pedir ayuda al de finanzas
2428 | A |   | desarrollar_ contra desarrollo_caracteristicas_producto, el mismo paso del mismo metodo, y lo que A anade sobre B cabe en una linea
2661 | D |   | A califica al COMPRADOR por tasa de defectos y B al PROVEEDOR: el propio paso 2 de A lo dice
2662 | A | X | consejo_calidad_2 contra consejo_de_calidad_3: el mismo organo, y lo suyo de B, institucionalizar y repetir el ciclo, cabe en una linea
2837 | D |   | reuniones de supervision y escalamiento contra el formulario de una pagina con acuse en 24 horas: dos mecanismos distintos
2838 | A |   | los CINCO pasos de A estan dentro de los cuatro primeros de B, con fragmentos literales (Pareto del turno, mecanismo de correlacion, validacion estadistica)
2914 | D |   | auditoria de la funcion de calidad contra auditoria del negocio: alcances distintos
2915 | D |   | cadencia diaria, semanal y mensual contra la doctrina esporadico/cronico: dos sistemas distintos
3071 | D |   | B es el concepto de auditoria y A el calendario concreto de vigilancia y recertificacion
3072 | D | X | el consejo como organo contra el rol personal del director: B trae estrategia, participacion propia y reconocimiento
3090 | D | X | definir la calidad desde el cliente contra cotejar esa definicion con la interna: comparten el nombre y no los pasos
3091 | D | X | el aviso de que las quejas llegan tarde contra el sistema de quejas: dude, porque dos de los cuatro pasos de A viven en B
3172 | D | X | el programa de Crosby contra la redaccion y difusion de la politica: se cruzan en el paso 1 de cada uno
3173 | A | X | los dos enumeran la triada del autocontrol (saber que se espera, saber como va, poder ajustar) y lo que cada uno anade cabe en lineas
3186 | D |   | A es el ejercicio de benchmarking y B desarrolla su paso 4 con procedimiento propio: brecha bruta, brecha neta, vital few
3187 | D |   | el concepto de auditoria contra la separacion QA/QC de la trilogia
3330 | D |   | actualizar la lista de riesgos contra el nodo de cierre de actitud: procedimiento contra postura
3331 | D |   | actualizar la lista de riesgos contra nombrar y probar las suposiciones fragiles

RECUENTO DE MIS CLASES: A 10, B 1, C 0, D 49, total 60.
MIS DISCUTIBLES MARCADOS DE ANTEMANO: 25, 654, 655, 719, 976, 1206, 1807, 1808,
2427, 2662, 3072, 3090, 3091, 3172, 3173. Son QUINCE, y estan marcados ANTES de
abrir el destape.
