==========================================================================================
VUELTA 90, TAREA 4 (segunda mitad): ESCRITURA DE OP-E-06, 114 PARES
==========================================================================================
puesto 497    | YA_ESTABA      | fit_problema_solucion -> verificar_product_market_fit (resuelto: sin alias)
puesto 1171   | YA_ESTABA      | customer_development_process -> get_out_of_the_building (resuelto: sin alias)
puesto 1186   | YA_ESTABA      | evaluacion_tipos_inversores -> financiamiento_venture_capital (resuelto: sin alias)
puesto 1199   | YA_ESTABA      | power_of_nine_agile -> roles_product_owner_scrum_master (resuelto: sin alias)
puesto 1200   | YA_ESTABA      | principios_lean_startup -> startup_como_experimento_cientifico (resuelto: sin alias)
puesto 1207   | YA_ESTABA      | search_for_business_model -> romper_vision_en_experimentos (resuelto: customer_development_vs_business_plan -> romper_vision_en_experimentos)
puesto 1209   | YA_ESTABA      | pivote_startup -> pivot_post_ventas (resuelto: sin alias)
puesto 1212   | YA_ESTABA      | obtencion_de_compromiso -> compromiso_linea_tiempo_cliente (resuelto: sin alias)
puesto 1218   | YA_ESTABA      | sales_operations_planning -> sop_colaborativo (resuelto: sin alias)
puesto 1226   | YA_ESTABA      | metricas_de_adquisicion_activacion -> metricas_accionables (resuelto: sin alias)
puesto 1236   | YA_ESTABA      | gestion_portafolio_foco -> analisis_de_capacidad_de_recursos (resuelto: sin alias)
puesto 1239   | YA_ESTABA      | comprension_capacidades_limitaciones_ia -> human_in_the_loop_ia (resuelto: sin alias)
puesto 1241   | YA_ESTABA      | gestion_portafolio_formal -> portfolio_management_triangulation (resuelto: sin alias)
puesto 1253   | YA_ESTABA      | stage_gate_system -> stage_gate_tipos_proyectos (resuelto: sin alias)
puesto 1261   | YA_ESTABA      | customer_development_modelo -> voz_del_cliente_voc (resuelto: sin alias)
puesto 1264   | YA_ESTABA      | construir_mvp_baja_fidelidad -> mvp_tipo_video (resuelto: sin alias)
puesto 1270   | YA_ESTABA      | pensamiento_convergente_divergente -> deadlines_como_herramienta_convergencia (resuelto: generar_multiples_opciones -> deadlines_como_herramienta_convergencia)
puesto 1283   | YA_ESTABA      | customer_development_process -> problem_solution_fit (resuelto: sin alias)
puesto 1286   | YA_ESTABA      | warrant_pricing_venture_debt -> original_issue_discount_oid (resuelto: warrants_deuda_convertible -> original_issue_discount_oid)
puesto 1300   | YA_ESTABA      | actualizar_modelo_de_negocio_pivot_o_proceed -> problem_solution_fit (resuelto: sin alias)
puesto 1309   | YA_ESTABA      | eleccion_ritmo_crecimiento -> decision_autofinanciamiento_vs_inversion (resuelto: sin alias)
puesto 1314   | YA_ESTABA      | customer_discovery_overview -> prueba_solucion_con_cliente (resuelto: sin alias)
puesto 1329   | YA_ESTABA      | customer_development_process -> customer_validation_sales_roadmap (resuelto: sin alias)
puesto 1336   | YA_ESTABA      | cuatro_etapas_llamada_de_ventas -> apertura_llamada_venta_grande (resuelto: sin alias)
puesto 1340   | YA_ESTABA      | transicion_jerarquia_startup -> seleccion_ceo_fundador (resuelto: sin alias)
puesto 1341   | YA_ESTABA      | sistema_gates_go_kill -> tipos_criterios_gate (resuelto: sin alias)
puesto 1345   | YA_ESTABA      | customer_discovery_cuatro_fases -> pivote_o_proceder (resuelto: customer_discovery_cuatro_fases -> pivotar_o_proceder)
puesto 1351   | YA_ESTABA      | product_market_fit -> verificar_clientes_y_canales (resuelto: sin alias)
puesto 1377   | YA_ESTABA      | portfolio_management -> pruning_portafolio (resuelto: sin alias)
puesto 1391   | YA_ESTABA      | carta_de_intencion_loi -> term_sheet_disposiciones_vinculantes (resuelto: sin alias)
puesto 1405   | YA_ESTABA      | get_customers_funnel_webmobile -> herramientas_de_activacion_web (resuelto: sin alias)
puesto 1418   | YA_ESTABA      | mitigacion_efecto_latigo -> alineacion_incentivos_desempeno (resuelto: sin alias)
puesto 1420   | YA_ESTABA      | seleccion_ceo_fundador -> fundadores_en_junta_directiva (resuelto: sin alias)
puesto 1424   | YA_ESTABA      | customer_discovery_cuatro_fases -> sintesis_hipotesis_modelo_negocio (resuelto: sin alias)
puesto 1428   | YA_ESTABA      | establecer_linea_base_mvp -> construir_mvp_baja_fidelidad (resuelto: sin alias)
puesto 1435   | YA_ESTABA      | analisis_porcentual_estados_financieros -> analisis_varianza_financiera (resuelto: sin alias)
puesto 1447   | YA_ESTABA      | sucesion_iniciada_por_fundador -> riesgo_beneficio_retener_fundador (resuelto: sin alias)
puesto 1454   | YA_ESTABA      | actualizar_modelo_de_negocio_pivot_o_proceed -> pivot_post_ventas (resuelto: sin alias)
puesto 1472   | YA_ESTABA      | pivote_o_proceder -> pivot_post_ventas (resuelto: pivotar_o_proceder -> pivot_post_ventas)
puesto 1497   | YA_ESTABA      | multi_sided_market_channel -> optimizacion_mercado_multilado (resuelto: sin alias)
puesto 1503   | YA_ESTABA      | customer_development_modelo -> customer_development_agile_pairing (resuelto: sin alias)
puesto 1509   | YA_ESTABA      | mercados_multilaterales -> multi_sided_market_channel (resuelto: sin alias)
puesto 1512   | YA_ESTABA      | proceso_diseno_modelo_negocio_5_fases -> fase_implementacion_modelo (resuelto: sin alias)
puesto 1531   | YA_ESTABA      | plan_gestion_calidad -> quality_audit (resuelto: sin alias)
puesto 1535   | YA_ESTABA      | enfoque_etapa_investigacion -> preguntas_problema_2 (resuelto: investigacion_como_habilidad_clave -> preguntas_problema_2)
puesto 1545   | YA_ESTABA      | metricas_de_adquisicion_activacion -> analisis_de_cohortes (resuelto: build_metrics_toolset -> metricas_cohortes)
puesto 1546   | YA_ESTABA      | pivote_o_proceder -> catalogo_pivotes (resuelto: pivotar_o_proceder -> catalogo_pivotes)
puesto 1549   | YA_ESTABA      | estructura_fondo_vc -> jerarquia_firma_vc (resuelto: sin alias)
puesto 1570   | YA_ESTABA      | forma_de_contraprestacion_en_adquisicion -> registration_rights_stock_consideration (resuelto: sin alias)
puesto 1595   | YA_ESTABA      | metricas_como_validacion_cuantitativa -> afinar_motor_crecimiento (resuelto: sin alias)
puesto 1614   | YA_ESTABA      | elegir_caja_correcta -> calcular_peso_dimensional_antes_cotizar (resuelto: sin alias)
puesto 1617   | YA_ESTABA      | revisar_necesidades_de_empaque -> adaptar_empaque_segun_tipo_de_articulo (resuelto: sin alias)
puesto 1618   | YA_ESTABA      | elegir_caja_correcta -> conocer_limites_peso_tamano_courier (resuelto: sin alias)
puesto 1630   | YA_ESTABA      | identificar_si_tu_producto_necesita_proteccion_especial -> simular_riesgos_transito_antes_de_enviar (resuelto: sin alias)
puesto 1636   | YA_ESTABA      | hacer_cajas_a_medida_del_pedido -> calcular_peso_dimensional_antes_cotizar (resuelto: sin alias)
puesto 1642   | YA_ESTABA      | adaptar_empaque_segun_tipo_de_articulo -> empacar_liquidos_doble_barrera (resuelto: sin alias)
puesto 1649   | YA_ESTABA      | identificar_si_tu_producto_necesita_proteccion_especial -> clasificar_tipo_paquete (resuelto: sin alias)
puesto 1650   | YA_ESTABA      | adaptar_empaque_segun_tipo_de_articulo -> elegir_resistencia_caja_peso (resuelto: sin alias)
puesto 1659   | YA_ESTABA      | revisar_necesidades_de_empaque -> reconocer_mercancia_peligrosa_disfrazada (resuelto: sin alias)
puesto 1665   | YA_ESTABA      | revisar_necesidades_de_empaque -> elegir_resistencia_caja_peso (resuelto: sin alias)
puesto 1666   | YA_ESTABA      | elegir_modo_transporte_volumen_distancia -> pagar_mas_por_velocidad (resuelto: sin alias)
puesto 1677   | YA_ESTABA      | hacer_cajas_a_medida_del_pedido -> conocer_limites_peso_tamano_courier (resuelto: sin alias)
puesto 1680   | YA_ESTABA      | elegir_caja_correcta -> aplicar_regla_fija_de_colchon_de_relleno (resuelto: sin alias)
puesto 1689   | YA_ESTABA      | revisar_necesidades_de_empaque -> empacar_liquidos_doble_barrera (resuelto: sin alias)
puesto 1764   | YA_ESTABA      | clasificar_tipo_paquete -> elegir_material_de_relleno_segun_producto (resuelto: sin alias)
puesto 1775   | YA_ESTABA      | commuting_teletrabajo_sostenible -> movilidad_verde_empleados (resuelto: sin alias)
puesto 1781   | YA_ESTABA      | identificacion_oportunidades_sostenibilidad_marketing -> marketing_verde_autentico (resuelto: sin alias)
puesto 1787   | YA_ESTABA      | commuting_teletrabajo_sostenible -> teletrabajo_sostenible (resuelto: sin alias)
puesto 1798   | YA_ESTABA      | eco_efectividad -> materiales_ciclicos_infinitamente_reciclables (resuelto: sin alias)
puesto 1823   | YA_ESTABA      | estrategia_ti_verde -> optimizacion_centro_datos_verde (resuelto: sin alias)
puesto 1835   | YA_ESTABA      | estrategia_proactiva_ambiental -> seguimiento_tendencias_sostenibilidad (resuelto: sin alias)
puesto 1854   | YA_ESTABA      | estrategia_eco_advantage -> innovar_transformar_mercados (resuelto: sin alias)
puesto 1864   | YA_ESTABA      | ownership_accountability_sostenibilidad -> co_creacion_estrategia_engagement (resuelto: sin alias)
puesto 1888   | YA_ESTABA      | optimizacion_centro_datos_verde -> virtualizacion_servidores (resuelto: sin alias)
puesto 1896   | YA_ESTABA      | issue_spotting_ambiental -> triple_bottom_line (resuelto: sin alias)
puesto 1953   | YA_ESTABA      | certificado_de_origen_coo -> certificacion_origen_producto (resuelto: sin alias)
puesto 1973   | YA_ESTABA      | seleccion_canales_distribucion -> seleccion_de_distribuidor_internacional (resuelto: sin alias)
puesto 1995   | YA_ESTABA      | documentacion_exportacion -> import_regulations_foreign_governments (resuelto: sin alias)
puesto 2005   | YA_ESTABA      | tipos_sitio_web_exportacion -> plataformas_comercio_electronico_marketplaces (resuelto: sin alias)
puesto 2009   | YA_ESTABA      | recursos_apoyo_gubernamental_exportacion -> programas_estatales_locales_financiamiento_exportacion (resuelto: sin alias)
puesto 2015   | YA_ESTABA      | certificado_de_origen_tratados_libre_comercio -> certificacion_origen_producto (resuelto: nafta_free_trade_agreements -> certificacion_origen_producto)
puesto 2023   | YA_ESTABA      | certificado_de_origen_tratados_libre_comercio -> certificacion_origen_producto (resuelto: sin alias)
puesto 2036   | YA_ESTABA      | proteccion_propiedad_intelectual_2 -> proteccion_marca_madrid_protocol (resuelto: sin alias)
puesto 2038   | YA_ESTABA      | metodos_de_pago_internacional -> letters_of_credit (resuelto: sin alias)
puesto 2051   | YA_ESTABA      | enfoque_paso_a_paso_investigacion_mercado -> fijacion_precio_exportacion (resuelto: sin alias)
puesto 2106   | YA_ESTABA      | marco_name_system_fee -> decision_marca_comun_branding (resuelto: sin alias)

==========================================================================================
TOTAL ARISTAS ESCRITAS ESTA CORRIDA: 0 de 114
YA_ESTABA (arista resuelta que ya existia, sin tocar nada): 114
ESCALERA_ROTA (no se escribe): 0
