MIS CLASES DE LA CIEGA, VUELTA 219. ESCRITAS ANTES DEL DESTAPE.
sello: docs/loop/SELLO_APERTURA_AUDITOR_V219.json
ciega: docs/loop/_auditor_v219_ciega_blind.txt (105415 bytes, sha256 aa3742003c36486a)
leyenda que uso: A duplicado que pide fusion; B dudoso que va a mesa; C figura o
racimo de tres o mas miembros; D sano (incluye la arista que falta y el par madre
e hijo que continua, banco 9.6, 9.6.1 y 9.6.2).
NO he abierto docs/loop/_auditor_v219_ciega_reveal.txt ni REPORTE.md.

DECLARO ANTES DE CONTAR, Y ES UNA APUESTA RAZONADA Y NO UN DESTAPE: en esta
muestra hay CINCO pares (2572, 2619, 2640, 2888 y 2906) que comparten nodos entre
si. `responsabilidad_gerencial_causas_comunes` sale en el 2619 y en el 2640;
`sistema_responsabilidad_gerencial` sale en el 2619 y en el 2906. Eso hace visible
UNA FIGURA de mas de dos miembros DESDE LA PROPIA CIEGA, sin destapar nada: la
familia Deming de causas comunes contra responsabilidad gerencial. Por eso les
pongo `C` y no `A`, y los marco los cinco como DUDOSOS.

puesto | mi clase | dudoso mio | por que
1318 | D | SI  | la tesis de B es el paralelismo entre areas, no la espiral
1340 | D |     | elegir CEO contra pasar de igualitario a jerarquico
1358 | D |     | el ejercicio del dia en la vida contra el barrido ancho de comprension
1370 | D |     | construir valor percibido contra vender dentro de la cuenta del cliente
1374 | D |     | quemar caja contra validar ingresos
1415 | D |     | espacios superpuestos del proceso contra generar insights y HMW
1417 | D |     | segmentos y problema contra verificacion de canal con costo de adquisicion
1462 | D |     | los siete elementos creadores de valor contra el value map del VPD
1493 | D |     | un termino del term sheet contra el calculo de conversion de notas
1505 | D |     | perder el asiento en la junta contra el reparto 51/49
1519 | D |     | duos contra trios y el sistema de las tres erres: dos preguntas distintas
1531 | D |     | el plan de calidad contra ejecutar una auditoria: madre e hijo con materia propia
1533 | D |     | madre e hijo: el paso 3 de la madre nombra el payback y el hijo lo despliega
1557 | D |     | dos fases distintas del metodo, discovery contra validation
1560 | D | SI  | el tipo de esfuerzo contra el segundo aliento y el staleness
1642 | D |     | madre e hijo: el paso 2 de la madre es liquidos y el hijo lo despliega
1655 | A | SI  | la misma pregunta (que relleno uso) con dos taxonomias, y el paso 1 es casi literal a los dos lados
1730 | D |     | descomponer el tiempo de ciclo contra mapear los tres momentos del servicio
1741 | D |     | acolchado por forma contra el peso y el costo del empaque
1812 | D | SI  | A es el proceso de redactar el plan y B es su contenido (huella, metas, offsets)
1816 | A |     | B contiene a A: cuatro pasos de A viven dentro de B y uno es literal
1876 | D |     | iluminacion sola contra eficiencia del almacen entera
1960 | D |     | madre e hijo: el paso 3 de la madre compara los cinco metodos y A es uno
2030 | D |     | autocertificacion bajo tratado contra certificado generico sin tratado
2163 | D |     | calificar prospectos contra disenar el soporte al franquiciado
2185 | D |     | madre e hijo con materia propia a cada lado (es la figura del 9.6.2)
2203 | D |     | desarrollo de area contra representante de area: dos estructuras distintas
2256 | D | SI  | solape grande pero el resto es procedimiento a los dos lados (cruce con lesiones contra evaluar cambios y nuevos oficios)
2292 | D |     | la vista nueva contra la vieja del error humano contra reconstruir el tunel: procedimiento a los dos lados
2571 | A |     | B es subconjunto: dos pasos literales de A y los otros dos mapean; B no conserva nada propio
2572 | C | SI  | miembro de la familia Deming que esta muestra deja ver con cinco pares que comparten nodos
2619 | C | SI  | idem, y su nodo A vuelve a salir en el 2640
2639 | A |     | B contiene a A: tres pasos literales y el resto mapeado
2640 | C | SI  | idem, y el propio identificador lleva sufijo `_2`
2663 | A |     | nombres gemelos y B contiene a A entera con tres pasos literales
2669 | A | SI  | los dos son el punto once de Deming con la misma tesis y pasos parejos
2731 | D |     | el sufijo `_5` es la trampa del identificador: el contenido es Juran de un lado y el chart de accion del otro
2888 | C | SI  | miembro de la misma familia Deming
2906 | C | SI  | idem, y su nodo B vuelve a salir en el 2619
2920 | D |     | ejecutar la auditoria contra redactar el reporte
2951 | D |     | madre e hijo: el paso 3 de la madre nombra el diagrama de caja y el hijo lo despliega
2993 | D |     | abolir la inspeccion masiva contra replantear el lenguaje de prevencion
3015 | D |     | las cinco clases de medida contra el indice de demeritos
3021 | D |     | planificacion inicial contra seleccion de sujetos de control
3031 | A | SI  | lo que el generico anade al procedimiento general cabe en una linea (busca fuera de tu industria)
3191 | D |     | el comite contra la fijacion de metas: dos pasos distintos del programa
3229 | A | SI  | nombres gemelos y los restos de los dos lados son lineas, no procedimientos
3232 | A |     | gemelos: recolectar, graficar corrida, detectar causas especiales, dirigir recursos
3249 | D |     | definir que es calidad contra la campana de conciencia
3250 | D |     | el consejo de alta direccion contra el equipo de mejora por departamentos
3302 | D |     | las dos caras de la incertidumbre contra el riesgo que no se acaba
3322 | D |     | el mayor riesgo contra las suposiciones fragiles
3351 | D |     | la cultura que habla del riesgo contra el protocolo del riesgo nuevo
3361 | D | SI  | listar amenazas contra formular causa y efecto: procedimiento a los dos lados

RECUENTO DE MIS CLASES: A 18, B 0, C 5, D 57. TOTAL 80.
MIS DUDOSOS MARCADOS DE ANTEMANO: 21 (165, 212, 294, 469, 505, 1122, 1193, 1318,
1560, 1655, 1812, 2256, 2572, 2619, 2640, 2669, 2888, 2906, 3031, 3229, 3361).
NO PONGO NI UNA `B`, Y LO DIGO ANTES DE COTEJAR: el acta 218 midio que la `B` y la
`C` viven de figuras invisibles desde un par, y aqui la unica figura que la ciega
me deja ver es el racimo Deming, que mando a `C`.
