id	veredicto	lineas	frase_clave	dato	texto_fiel	razon
SB1-024	FIEL	L1445	Workers exposed to potential falling objects wear appropriate PPE, such as head protection.			Literal.
SB1-025	FIEL	L541	Fire extinguishers are selected and provided for the types of materials in the areas where they are to be used.			Parafrasis fiel.
SB1-026	FIEL	L1441	Toeboards, screens, or guardrail systems are erected to prevent objects from falling to lower levels.			Literal.
SB1-027	FIEL	L955-L957	Energy source isolation is verified before work begins. Verification is accomplished by testing machinery, gauges, or other approved means.			Literal.
SB1-028	FIEL	L983	Abrasive grinders have safety guards that cover the spindle, nut and flange projections; the guards are mounted to maintain proper alignment with the wheel			Literal.
SB1-029	FIEL	L953	For equipment or lines that cannot be shut down, or locked out and tagged, a safe job procedure is established and rigidly followed.			Literal.
SB1-030	FIEL	L947-L949	Machinery or equipment is locked out at the main power source; not at a push button, selector switch, or other control circuit type device.			Literal, con L947 para identificar a quien bloqueo.
SB1-031	OPERATIVO	L631	Spills of flammable or combustible liquids are cleaned up promptly.		Limpiar con prontitud los derrames de líquidos inflamables o combustibles	El libro pide limpiar con prontitud; convertirlo en establecer procedimientos concreta la accion en la misma direccion.
SB1-032	ANADIDO	L851	An acclimatization plan is in place to modify work duties for and to closely supervise (1) new workers, (2) temporary or contract workers, and (3) workers returning from extended leave to ensure they gradually build tolerance to heat.	durante sus primeros 14 días	Ajustar las tareas de los trabajadores nuevos, temporales o que vuelven de una ausencia larga para que ganen tolerancia al calor poco a poco	El libro no fija ningun plazo de aclimatacion. Grep 14, fourteen, two weeks, days: solo 14 deaths per day (L19) y plazos ajenos.
SB1-033	FIEL	L1025; L1029	Dust collectors and powered exhausts are provided on grinders used in operations that produce large amounts of dust.			Literal (L1029 Workers use appropriate PPE when grinding).
SB1-034	FIEL	L1053	Workers are trained on safe methods of machine operation.			Literal.
SB1-035	FIEL	L1569	Spilled materials are cleaned up immediately.			Literal.
SB1-036	FIEL	L1833	A recognized hazard is a danger recognized by the employer's industry or industry in general, by the employer, or by common sense.			Parafrasis fiel.
SB1-037	FIEL	L1541-L1543	Stair riser heights and tread depths are uniform between landings. Steps are slip-resistant.			Literal.
SB1-038	FIEL	L781	The hazard communication program is reviewed periodically to ensure it is meeting its objectives, and is revised/ updated as appropriate			Literal.
SB1-039	FIEL	L91	Compile information from your completed checklists with workplace injury and illness records, worker training information, and process and equipment information (e. g. , maintenance logs			Literal.
SB1-040	FIEL	L1321; L1329	Appropriate atmospheric tests are performed to check for oxygen deficiency, flammable gases and vapors, and for potential toxic air contaminants in the confined space before entry.			Antes (L1321) y durante (L1329 frequently tested or continuously monitored during work).
SB1-041	FIEL	L725	Cord-connected, electrically operated tools and equipment are effectively grounded or of the approved double insulated type.			Literal.
SB1-042	FIEL	L997	New abrasive wheels are visually inspected and ring tested before they are mounted.			Literal.
SB1-043	FIEL	L1577	Walking-working surfaces are inspected regularly and maintained in a safe condition.			Literal.
SB1-044	FIEL	L1855-L1863	Protection from retaliation means that an employer cannot retaliate by taking "adverse action" against workers, such as: ... Disciplining			La lista de represalias prohibidas incluye disciplinar, en la misma seccion que el derecho a negarse (L1863).
SB1-045	CONTRARIO	L949	Machinery or equipment is locked out at the main power source; not at a push button, selector switch, or other control circuit type device.	bloquear en el pulsador o selector de control	Bloquear el equipo en la fuente de energía principal, nunca en un pulsador, selector u otro dispositivo de control	El libro prohibe bloquear en pulsador o selector. Grep de apoyo: L963 pide poder bloquear tambien el circuito de control, pero ademas de la fuente principal, no en su lugar.
SB1-046	OPERATIVO	L69	By developing and implementing a safety and health program, you are expressing and documenting your good faith and commitment to protecting your workers' health and safety.		Documenta lo que haces para proteger a tu gente: así dejas constancia de tu buena fe y compromiso	La seccion de la clausula (L1829-L1837) no habla de documentar; L69 si respalda documentar la buena fe. Diligencia no aparece (Grep diligen: 0).
SB1-047	FIEL	L1447-L1449	Material on elevated surfaces is piled, stacked, or racked in a manner to prevent it from tipping, falling, collapsing, rolling, or spreading.			Literal, con L1447 headroom.
SB1-048	FIEL	L537-L539	NOTE: Refer to National Fire Protection Association standard #10 (NFPA 10) for guidance on types, numbers, and locations.			Literal.
SB1-049	FIEL	L1097	Overhead and gantry cranes are periodically inspected for defects or safety concerns in 1 to 12 month intervals depending on equipment activity, severity of service, and environment.			Parafrasis fiel.
SB1-050	FIEL	L1155	The load is well secured and properly balanced before it is lifted more than a few inches.			Parafrasis fiel.
SB1-051	FIEL	L1831-L1833	shall furnish to each of his employees employment and a place of employment which are free from recognized hazards			Consecuencia directa de la clausula cuando no hay norma especifica.
SB1-052	FIEL	L891-L893	hand hygiene, cleaning and disinfection ... Perform routine environmental cleaning and disinfection, especially all frequently touched surfaces			Literal.
SB1-053	FIEL	L1179	Hand trucks, pallet jacks, powered industrial trucks, and other equipment used for materials handling are maintained in safe operating condition.			Literal.
SB1-054	FIEL	L85	Consultants from OSHA's On-Site Consultation programs ... can help small business employers with this process at no cost.			Localizado al pais.
SB1-055	FIEL	L1261-L1263	Workers who only render first aid as a collateral duty are provided with appropriate PPE, such as gloves.			Literal (L1263 training on bloodborne pathogens).
SB1-056	FIEL	L391	A worksite analysis has been performed to identify ergonomics-related hazards with input from workers.			Parafrasis fiel.
SB1-057	FIEL	L945	Authorized workers have been trained on the lockout/tagout procedure, and are provided with personal safety locks or other approved lockout devices.			Literal.
SB1-058	FIEL	L1439	Workers working on surfaces that are elevated more than 4 feet (1. 2 meters) above a lower level			Literal.
SB1-059	FIEL	L1523	All ladders are routinely inspected for damage.			Literal.
SB1-060	FIEL	L1339-L1341	A trained and equipped attendant is positioned outside the confined space ... Operable communications between the entrant(s) and the attendant is maintained			Literal.
SB1-061	FIEL	L1507	the ladder always extends at least 3 feet (0. 9 meters) above the elevated surface.			Literal.
SB1-062	FIEL	L613	Inside storage rooms for flammable and combustible liquids have mechanical or gravity ventilation.			Literal.
SB1-063	FIEL	L687; L693	Broken or fractured handles on hammers, axes, and similar equipment are replaced.			Literal (L687 mushroomed heads reconditioned or replaced).
SB1-064	FIEL	L395	implementing engineering controls ... administrative and work practice controls ... and personal protective equipment.			Parafrasis fiel.
SB1-065	FIEL	L1439	are protected from falling by guardrail systems, safety net systems, or personal fall protection systems.			Literal.
SB1-066	FIEL	L1305-L1307	permit-required confined spaces have been identified. Danger signs are posted			Literal.
SB1-067	FIEL	L915	Provide personal protective equipment (e. g. , gloves, eye protection, masks or NIOSH Approved® respirators) when necessary			Literal.
SB1-068	FIEL	L1105; L1109	Each overhead electric hoist is equipped with a limit switch/device ... The rated load of each hoist is legibly marked and visible to the operator.			Literal.
SB1-069	FIEL	L1263	had hepatitis B vaccinations made available to them			Literal.
SB1-070	FIEL	L1183	Trucks and trailers are secured from movement during loading and unloading operations.			Literal.
SB1-071	FIEL	L605	Approved containers and tanks are used to store and handle flammable and combustible liquids.			Literal.
SB1-072	OPERATIVO	L1565; L1581	Holes in the floor, sidewalk, and other walking-working surfaces are repaired properly, covered, and otherwise made safe.		Repara, cubre o asegura los huecos en pisos y pasillos antes de volver a usarlos	El libro pide reparar, cubrir o asegurar, y corregir antes de volver a usar la superficie (L1581); de inmediato concreta en la misma direccion sin contradecir.
SB1-073	OPERATIVO	L1855-L1863	Protection from retaliation means that an employer cannot retaliate by taking "adverse action" against workers		Asegúrate de que quien tenga gente a cargo sepa que no se puede tomar represalia contra quien se niega a trabajar por una razón legítima	El libro no pide capacitar a supervisores en esto (Grep supervisor: solo calor, ergonomia, violencia); la prohibicion de represalias si esta. Concreta en la misma direccion.
SB1-074	CONTRARIO	L1603	Fuel gas cylinders and oxygen cylinders in storage are separated by a distance of at least 20 feet, or by a non-combustible barrier at least 5 feet (1. 5m) high	al menos 10 pies	Separar en almacén los cilindros de oxígeno y de gas combustible al menos 20 pies, o con una barrera no combustible de al menos 5 pies de alto	El libro da 20 pies; el paso cambia la distancia a 10. Grep 10 feet / ten feet: 0.
SB1-075	FIEL	L1193	Pallets are inspected before being loaded or moved.			Literal.
SB1-076	FIEL	L1563	Wet surfaces are covered with non-slip materials			Literal.
SB1-077	ANADIDO	L807	Materials that give off toxic, asphyxiant, suffocating, or anesthetic fumes are stored in remote or isolated locations when not in use.	o ventiladas	Almacenar en lugares remotos o aislados las sustancias que desprenden vapores tóxicos cuando no se usan	El libro pide lugares remotos o aislados; ventilado como alternativa no aparece para almacenar toxicos (Grep ventilat: solo L217, L613 inflamables, L853, L891, L1327, L1649).
SB1-078	FIEL	L1363	Hazards that require the use of PPE (e. g. , head, eye, face, hand, or foot protection) have been identified.			Literal.
SB1-079	FIEL	L1391	PPE is maintained in a sanitary condition and ready for use.			Literal.
SB1-080	FIEL	L1259	Fully supplied first aid kits are easily accessible to each work area ... and are periodically inspected and replenished as needed.			Literal.
SB1-081	OPERATIVO	L83; L91-L93	control identified hazards ... to help you determine where challenges exist		Controlar los peligros identificados, empezando por las áreas más críticas de tu negocio	El libro pide controlar los peligros identificados y empezar por lo mas critico; priorizar concreta eso sin datos nuevos.
SB1-082	FIEL	L1517	Portable metal ladders are legibly marked with signs reading "CAUTION - Do Not Use Around Electrical Equipment" or equivalent wording.			Literal.
SB1-083	OPERATIVO	L683; L329; L701	All tools and equipment (both company and worker-owned) used at the workplace are in good condition.		Verificar que todas las herramientas manuales y eléctricas estén en buen estado	El libro exige buen estado y pide inspeccion antes de uso para equipo con cable (L329) y gatos (L701); inspeccion regular de todas concreta en la misma direccion.
SB1-084	FIEL	L1525	Ladders with structural or other defects are immediately tagged "Dangerous: Do Not Use" or with similar language and removed from service			Literal.
SB1-085	FIEL	L801	Medical or biological monitoring systems are in operation for eligible workers (e. g. , exposure to cadmium, lead).			Literal.
SB1-086	FIEL	L79	for knowledgeable and experienced workers to conduct routine safety and health inspections			Parafrasis fiel.
SB1-087	FIEL	L93	You might want to start by selecting the checklists that apply to areas that are most critical to your business			Literal.
SB1-088	FIEL	L739	A list or inventory of all hazardous chemicals in the workplace has been prepared			Literal.
SB1-089	ANADIDO	L549	Fire extinguishers receive an annual maintenance check, and the maintenance is recorded.	certificado	Programar el mantenimiento anual y dejarlo registrado	El libro pide revision anual registrada, no certificada. Grep certif: solo alarma (L581), NIOSH (L917), cables y cadenas (L1099, L1103) y montacargas (L1201).
SB1-090	FIEL	L803	appropriate personal protective clothing and equipment when handling hazardous chemicals (e. g. , gloves, eye/face protection, respirators, etc. ).			Literal.
SB1-091	OPERATIVO	L1039; L1049; L1051	Pulleys and belts within 7 feet (2.1336 meters) of the floor or working level are properly guarded.		Instalar guardas en puntos de operación, engranajes y cadenas, y en poleas y correas dentro de 7 pies del piso.	El limite de 7 pies en el libro es solo para poleas, correas (L1049) y aspas (L1047); puntos de operacion (L1039) y engranajes (L1051) se protegen sin ese limite. La redaccion puede leerse como si el limite valiera para todo.
SB1-092	FIEL	L1535	Stair rail systems and handrails are provided on all stairways having at least four risers.			Literal.
SB1-093	FIEL	L141; L1863	A procedure is in place for workers to report injuries, illnesses, incidents (including near misses/close calls), hazards, and safety and health concerns.			Procedimiento de reporte (L141) y aviso previo al empleador (L1863).
SB1-094	FIEL	L1037	Fixed machines are anchored to prevent tipping or other movement.			Literal.
SB1-095	FIEL	L909-L911	Ensure infectious waste is placed in closable, leak-proof containers, bags, or puncture- containers with proper labels.			Literal.
SB1-096	FIEL	L1369	PPE is provided by the employer, at no cost to the workers, except as noted in 29 CFR 1910.132(h).			Literal.
SB1-097	FIEL	L1253-L1255	If a medical facility is not located near the workplace, at least one worker on each shift is adequately trained and qualified to render first aid.			Parafrasis fiel.
SB1-098	ANADIDO	L743-L745	Labels are kept on shipped containers; including: product identifier, signal word, hazard statement(s), pictogram(s), precautionary statement(s), and supplier information.	según el sistema GHS	Etiquetar los contenedores con identificador del producto, palabra de advertencia, indicaciones de peligro, pictogramas, consejos de prudencia y datos del proveedor	El libro enumera los elementos de la etiqueta pero no nombra el GHS. Grep GHS, Globally, Harmoniz: 0.
SB1-099	FIEL	L1567	Material and equipment is stored in such a way that projections do not interfere with walkways.			Parafrasis fiel.
SB1-100	FIEL	L943	stored energy (mechanical, hydraulic, air, etc. ) is released or blocked before equipment is locked out for service and maintenance.			Literal.
SB1-101	FIEL	L1551	Stairway handrails are capable of withstanding a load of 200 pounds (890 Newtons)			Remite a la normativa local sin cambiar el valor del libro.
SB1-102	FIEL	L1351	Before entry, operable communications with and availability of rescue services are verified.			Literal.
SB1-103	FIEL	L1269; L237	Emergency phone numbers are posted.			Literal.
SB1-104	FIEL	L653	with bold face type reading "POWDER-" or "EXPLOSIVE- TOOL IN USE" is conspicuously posted when the tool is being used.			Literal.
SB1-105	FIEL	L1279	Noise levels have been measured with a sound level meter or an octave band analyzer			Literal.
SB1-106	FIEL	L387	Workers, supervisors, and managers are trained on the signs and symptoms of MSDs			Literal.
SB1-107	FIEL	L649	Each explosive-actuated tool is stored in its own locked container when not being used.			Literal.
SB1-108	FIEL	L981	Bench and pedestal grinders are permanently mounted.			Literal.
SB1-109	ANADIDO	L1277-L1279	Noise levels have been measured with a sound level meter or an octave band analyzer and records are being kept.	dosímetro personal, cada trabajador, toda la jornada	Medir los niveles de ruido con un sonómetro o un analizador de bandas de octava y guardar los registros	El libro nombra sonometro o analizador de bandas de octava y registros; no menciona dosimetro ni medicion por trabajador durante la jornada. Grep dosimet, personal noise: 0.
SB1-110	OPERATIVO	L1863; L1581	a worker has brought the condition to the attention of the employer.		Revisa la condición que te reportaron y corrígela antes de que se vuelva a trabajar en ella	El libro no fija plazo para atender lo reportado; pide corregir condiciones peligrosas antes de volver a usar (L1581, L1161). De inmediato concreta en la misma direccion.
SB1-111	FIEL	L1187	Dockboards are capable of supporting the maximum intended load.			Literal.
SB1-112	FIEL	L1177	Aisles are permanently marked and kept clear to allow unhindered passage.			Literal.
SB1-113	FIEL	L1063; L1073	A power shut-off switch is provided within reach of the operator's position at each machine. ... Emergency stop buttons are colored red.			Une dos items literales.
SB1-114	FIEL	L695	Tools are stored in a dry, secure location where tampering is not possible.			Literal.
SB1-115	FIEL	L1055	A program is in place for regular safety inspections of machinery and equipment.			Literal.
SB1-116	FIEL	L543	Fire extinguishers are visually inspected monthly, and the inspection is recorded.			Literal.
SB1-117	FIEL	L1287-L1289	Workers are properly fitted and instructed in the use of hearing protectors.			Literal.
SB1-118	OPERATIVO	L1499	Workers face the ladder and maintain three points of contact (two hands and a foot, or two feet and a hand) on the ladder when climbing.		Asegurar que los trabajadores mantengan tres puntos de contacto al subir	El libro pide que se mantengan tres puntos de contacto; capacitar es el medio que concreta eso sin datos nuevos.
SB1-119	FIEL	L887	Conduct a hazard assessment to identify job tasks in which workers have potential occupational exposure to infectious agents.			Literal.
SB1-120	FIEL	L1157	provisions are made to ensure that no one is below hoisted material or equipment.			Parafrasis fiel.
SB1-121	FIEL	L1309	A written permit-required confined space program has been implemented.			Literal.
SB1-122	FIEL	L385	Existing problems have been identified by reviewing OSHA 300 logs, workers' compensation records, first aid logs			Parafrasis fiel, localizada.
SB1-123	FIEL	L1009-L1011	Work rests are used and kept adjusted to within 1/8 inch ... The adjustable tongue ... within 1/4 inch			Omite las cifras sin cambiarlas.
SB1-124	FIEL	L621-L623	"NO SMOKING" signs are posted on liquefied petroleum gas tanks. "NO SMOKING" signs are in areas where flammable or combustible materials are used and stored.			Literal.
SB1-125	FIEL	L1537	Standard stairs are at least 22 inches (56 centimeters) wide.			Remite a la normativa local sin cambiar el valor del libro.
