id	veredicto	lineas	frase_clave	dato	texto_fiel	razon
DK4-034	OPERATIVO	L591	Confidential means that the reporter is known, but only, for example, for safety people--not to people who could create career jeopardy (for example, supervisors, line managers).		Establecer un canal de reporte confidencial (no anonimo) en el que al informante solo lo conozca, por ejemplo, el personal de seguridad, y no supervisores ni mandos de linea.	El libro habla de quien conoce al informante "por ejemplo" el personal de seguridad; "gestionado solo por" lo endurece un poco sin dato nuevo.
DK4-035	OPERATIVO	L1728-L1734; L2063-L2067	data observability: what would have been observable given the features of the interface and the multiple interleaving tasks, goals, interests, knowledge and even culture of the people looking at it.		Distingue lo que tenias disponible de lo que realmente podias observar en ese momento, dada la interfaz y todas las tareas, metas y conocimientos que se entrecruzaban.	La distincion es del libro; "el volumen de informacion disperso entre los participantes" no figura entre los factores que da el libro, se reescribe con los suyos.
DK4-036	FIEL	L2015-L2029	The thing that explains a particular instance of failure does not need to be the same thing that allows your managers to do something about its potential recurrence.			Distincion factores explicativos y de cambio, literal.
DK4-037	FIEL	L3300-L3308	What does it take to get the job done on a daily basis? What are the "workarounds," innovations or improvisations that people have to engage in ... Ask them that question directly			Parafrasis directa.
DK4-038	OPERATIVO	L547-L549	A systems approach understands that each component or contributor in a system has specific responsibilities to help attain the system's overall goals.		Identificar las responsabilidades especificas de cada componente o contribuyente del sistema (no solo del individuo involucrado en el incidente).	El libro afirma que cada componente tiene responsabilidades; mapearlas es concrecion sin dato nuevo.
DK4-039	FIEL	L759-L763	You underestimate the uncertainty people faced ... Had you seen the same situation from the inside, you would have recognized multiple possible pathways and many zigs and zags in them.			Parafrasis.
DK4-040	FIEL	L19; L180-L190	Use the contrast between the Old and New View to look at problems in your own setting and environment anew. Use it to map where other people might be in their thinking about 'human error.'			El libro pide usar el contraste para diagnosticar y da pistas de cuando reina la Vieja Vision.
DK4-041	OPERATIVO	L2439-L2449	It is possible to write such guidance only if a number of assumptions are made about the environment in which the guidance is to be followed.		Revisar los procedimientos existentes para ver donde suponen un entorno lineal, predecible y controlable.	El libro expone los tres supuestos; revisar los procedimientos con ellos es concrecion sin dato nuevo.
DK4-042	FIEL	L2036	Specific. You want your recommendation to be clearly specified. Which parts of what organization do you want to do what and when?			Literal.
DK4-043	OPERATIVO	L2059-L2061; L742	Such remarks or questions have no role to play, however, in explaining why people did what they did.		Para explicar lo que paso, no te quedes en '¿por que no hice...?' o '¿por que no hizo...?': es una pregunta contrafactual que, con el resultado ya conocido, hace parecer obvia la respuesta y no explica por que se hizo lo que se hizo.	El libro reconoce que esas preguntas sirven para prepararse, pero no para explicar; la prohibicion absoluta se matiza sin cambiar la direccion.
DK4-044	OPERATIVO	L2483-L2487; L3319	Find out what organizational history or pressures exist behind these routine departures from the routine		Revisar la historia y las presiones que hay detras de las desviaciones que se volvieron rutina (normalizacion de la desviacion), sin juzgarlas desde fuera y en retrospectiva.	El libro pide rastrear la historia de las desviaciones, pero advierte que se trata de explicar, no de juzgar desde la retrospectiva.
DK4-045	FIEL	L3231	When the line gets involved, the topic should be people's work, not (just) their safety.			Literal.
DK4-046	FIEL	L597	With the confidential report in hand, organizations can think about investing in broader meaningful countermeasures (other than just fixing the flap problem on that one aircraft)			Literal.
DK4-047	FIEL	L530-L536; L4063	you need to be able to show that people had the authority to live up to the responsibility that you are now asking of them			Parafrasis del desajuste autoridad responsabilidad.
DK4-048	FIEL	L3147-L3149	Those are not really investments in safety, as much as they are investments in showing that you did something about the problem.			Parafrasis: el sistema de seguridad no debe ser un sistema para demostrar.
DK4-049	FIEL	L2077; L1779-L1783	we have to reconstruct the situation as it unfolded around them at the time, not as it looks to us now.			Parafrasis.
DK4-050	ANADIDO	L3981-L3991	people and the systems they work in may be open to change--even if only for a short while; resources may be available that are otherwise dedicated to production only, something that could make even the more difficult recommendations for change realistic.	que la ventana suele durar unas seis semanas	Aprovechar la ventana de apertura posterior al incidente, que puede durar solo un tiempo breve, para impulsar las recomendaciones de cambio mas dificiles	El libro no pone duracion a la ventana ("only for a short while"); busque weeks, six, short while sin cifra alguna.
DK4-051	OPERATIVO	L2447-L2449	Interleaving unpracticed tasks, particularly those that involve novel or unexpected aspects leads often to errors of omission.		Hacer ver a los equipos que intercalar tareas no practicadas suele producir omisiones y que tienden a subestimar su propia vulnerabilidad en esas circunstancias.	El libro describe el fenomeno y que los operadores subestiman su vulnerabilidad; no prescribe capacitar, y recela del reentrenamiento como arreglo rapido.
DK4-052	FIEL	L1694-L1771	micro-matching fragments of behavior with these various standards explains nothing--it only judges.			Resume micro-matching (procedimientos y datos impuestos a la historia) y la bolsa de la compra.
DK4-053	CONTRARIO	L4041; L163	Explaining one error (for example, operator error) by pointing to another (inadequate supervision, deficient management, bad design) does not explain anything. It only judges other people for not doing what you, in hindsight, think they should have done.	remontarse a la supervision inadecuada o a la gestion deficiente como explicacion de fondo	Si el error del operador no basta para explicar el evento, no lo expliques con otro error (supervision inadecuada, gestion deficiente): trata la etiqueta como punto de partida y busca las condiciones que hicieron razonable lo que se hizo	El libro desaconseja justo esa maniobra; no hay pasaje que la apoye.
DK4-054	FIEL	L914-L920	You can divide an operational system into a sharp end and a blunt end			Parafrasis.
DK4-055	FIEL	L2054; L2100	The point of this investigation is not to assign blame or responsibility, but to learn; to learn and improve.			El libro da esta frase como modelo para presentar la revision.
DK4-056	FIEL	L3539; L3642	employer practices such as fostering open communication about safety issues, may encourage reporting of injuries and illnesses.			Cultura de seguridad como requisito HRO y comunicacion abierta sobre seguridad estan en el libro.
DK4-057	OPERATIVO	L3650-L3656; L2865	The risk of having an accident is a fixed, structural property of the complexity of the systems we choose to build and operate.		Considerar si el sistema que se decide construir y operar puede ser menos complejo y menos estrechamente acoplado, ya que de eso depende su riesgo estructural.	El libro no habla de rediseñar para reducir el acoplamiento, pero atribuye el riesgo a la complejidad y el acoplamiento del sistema elegido ("The safest part is the one we could leave off"); misma direccion.
DK4-058	OPERATIVO	L3768; L3781-L3786	Telling people in an ultra-safe activity that they need more rules and better compliance, for example, is not going to make things any safer.		Si ya se esta en este nivel, no esperar mejoras de mas reglas, procedimientos o campanas de concientizacion, sin abandonar lo que ya mantiene el nivel actual.	El libro dice que esas recomendaciones ya no suben la seguridad, aunque lo hecho debe sostenerse (L3830); el paso concreta en esa direccion.
DK4-059	OPERATIVO	L723-L742; L3991	To understand failure, you first have to understand your own reactions to failure.		Ayudar a los investigadores a reconocer en su propio analisis estas reacciones al fallo para que no les impidan comprenderlo.	El libro pide reconocer y contener las propias reacciones; "entrenar" es concrecion sin dato nuevo.
DK4-060	FIEL	L1681; L1785	How did the situation unfold around them; what cues did they get when?			Literal.
DK4-061	OPERATIVO	L3650-L3654	Interactive complexity ... Tight coupling		Evaluar la complejidad interactiva y el acoplamiento estrecho de los sistemas que la organizacion opera.	El libro expone los rasgos de Perrow; evaluarlos es concrecion sin dato nuevo.
DK4-062	FIEL	L656-L658	Strong social and organizational support systems for second victims (psychological first aid, debriefings, follow-up), have proven critical			Parafrasis.
DK4-063	FIEL	L163; L1805-L1813	Many investigations now say that people "lost situation awareness" rather than more blatantly blaming operator error. One popular model is organized around workers' "unsafe acts." None of this says anything new.			El libro enumera esos eufemismos (lack of attention, unsafe acts, no dar maxima prioridad a la seguridad L199).
DK4-064	OPERATIVO	L2449	In many real-world situations, pilots cannot delay or defer one task long enough to complete another one fully. This means that multiple tasks need to be interleaved		Contrastar el trabajo real, con sus tareas intercaladas, con el trabajo prescrito por procedimientos y checklists.	El libro pide entender ese contraste; las "observaciones de campo" son el medio operativo, sin dato nuevo.
DK4-065	FIEL	L2044	You may want the implementation of your recommendation to have some kind of suggested expiration date, so decision makers can agree on deadlines for achievement.			Parafrasis de Time-bound y Realistic.
DK4-066	FIEL	L2098	People will tell how they work in a complex world, and how they have learned to adapt around the many goal conflicts and resource constraints in it. ... But if we don't talk about it openly and honestly, we won't know.			Literal.
DK4-067	FIEL	L747-L751	One of the safest bets you can make as an investigator or outside observer is that you know more about the incident or accident than the people who were caught up in it--thanks to hindsight			Literal.
DK4-068	OPERATIVO	L942; L1981; L1994	This means zooming out, away from looking just at the sharp end, and incorporating blunt end policies and priorities and design choices		Incluir en el informe recomendaciones que alcancen tambien al extremo romo (politicas, prioridades, diseno), no solo al extremo agudo.	El libro pide ver ambos extremos y recela de recomendaciones solo para el extremo agudo; el paso concreta sin dato nuevo.
DK4-069	FIEL	L1987; L3302	Trace the difference between work as imagined and work as actually done.			Literal.
DK4-070	FIEL	L658; L1012-L1022	Strong social and organizational support systems for second victims (psychological first aid, debriefings, follow-up)			El libro nombra los debriefings y da un orden para hacerlos (Klein).
DK4-071	FIEL	L1683	What goals were they likely pursuing at that time (not knowing the outcome you now know about)?			Literal.
DK4-072	OPERATIVO	L3650-L3656	The only way to achieve a zero vision in such a system is to dismantle it, and not use it altogether. Which is what Perrow essentially recommended us to do with nuclear power generation.		Considerar, con Perrow, que en sistemas muy complejos y estrechamente acoplados el riesgo es estructural y que la unica forma de llegar a cero es desmantelarlos.	El libro recoge la conclusion de Perrow; convertirla en una decision de continuar, rediseñar o desmantelar es concrecion sin dato nuevo.
DK4-073	FIEL	L1771; L1785	try to reconstruct which cues came when, which indications may have contradicted them			Literal.
DK4-074	FIEL	L3241-L3243	This means that the line organization may need some help, some coaching, in how to approach such questions about people's work.			Coaching a la linea para mirar el trabajo y no solo la observacion de seguridad al estilo burocratico.
DK4-075	FIEL	L2096	"Investigation," after all, brings with it all kinds of negative connotations. Connotations like questioning people, interrogating them, finding out where they went wrong.			Literal.
DK4-076	OPERATIVO	L3926	with over two-thirds of all citations handed out by workplace safety inspectors directed at workers or immediate supervisors		Revisa sobre quien recaen las sanciones o llamadas de atencion por seguridad en tu negocio: ¿los trabajadores y supervisores directos, o quienes organizan y dotan de recursos el trabajo?	El libro describe la tendencia; revisarla en el propio negocio es concrecion sin dato nuevo.
DK4-077	OPERATIVO	L3578; L2970; L3111	Outcomes, measured in terms of incidents or accidents, or in terms of indicators of resilience, then are what they are.		Complementa tus metricas reactivas de fallos con indicadores de lo que sale bien (resiliencia), sin convertirlos en metas numericas.	El libro menciona indicadores de resiliencia y critica los indicadores rezagados y las metas; crear indicadores de exito es concrecion en su direccion.
DK4-078	OPERATIVO	L3991; L21	walk your colleagues, your managers or your stakeholders through some of the material in chapters 1 and 2 of The Field Guide		Explicar el contraste entre la Vieja y la Nueva Vision a colegas, directivos y demas implicados para abrir un dialogo sobre el 'error humano'.	El libro pide recorrer el material con colegas y directivos; "comunicar el cambio de paradigma" es concrecion sin dato nuevo.
DK4-079	FIEL	L2098	"What do you guys want to do, or need, to make this better?"			Literal.
DK4-080	FIEL	L2881-L2883; L2738	Control can be imperfect and even erode over time.			Parafrasis.
DK4-081	FIEL	L3302	The gap is not evidence of "violations" (that would simply blame your operators). ... By studying the gap, you learn a lot about your own (mis-) understanding of people's work.			Parafrasis.
DK4-082	FIEL	L654	The question becomes: what should we do about the problem and who should be accountable for implementing those changes and assessing whether they work?			Parafrasis.
DK4-083	FIEL	L920	The blunt end gives the sharp end resources ... But at the same time it puts on constraints and pressures			Parafrasis.
DK4-084	OPERATIVO	L2978	do not walk around telling people how they are supposed to work. Try to understand why they work the way they do, and why it is, or seems, normal for them at the time.		Observa el trabajo, el tuyo o el de quien te ayuda, para entender por que se hace como se hace y por que parece normal, no para decir como deberia hacerse.	El libro lo dice de las observaciones del trabajo ajeno; aplicarlo al propio trabajo es concrecion sin dato nuevo.
DK4-085	OPERATIVO	L591-L597	Mike O'Leary and Nick Pidgeon showed how much the formal and confidential reports about the same event can diverge		Comparar lo que recogen los reportes formales y los confidenciales sobre un mismo evento para ver que informacion no llega al reporte formal.	El libro muestra la divergencia; compararlos es concrecion sin dato nuevo.
DK4-086	FIEL	L654; L2038	who should be accountable for implementing those changes and assessing whether they work?			Parafrasis.
DK4-087	FIEL	L190-L193	If your organization has made the HR (Human Resources) Department responsible for safety, and they treat safety investigations as if they were individual performance reviews, then that is not even a clue. It is a call for change.			Parafrasis.
DK4-088	FIEL	L2040	You want your recommendation to take into account legitimate organizational concerns about production or efficiency; otherwise you will not get any traction with those responsible for implementation			Parafrasis de Agreed.
DK4-089	FIEL	L2970-L2978	Is safety making sure those few things don't go wrong, or that as many things as possible go right?			El libro plantea esa pregunta de diagnostico.
DK4-090	FIEL	L3848	In other words, look at normal work.			Literal.
DK4-091	OPERATIVO	L3644-L3648; L2858	redundancy of equipment and personnel		Contar con redundancia de equipos y personal, uno de los requisitos HRO, comprobando que las barreras humanas sean independientes (falacia de la redundancia social).	La redundancia esta en el libro como requisito HRO, pero con la advertencia de que personas que se conocen no son barreras independientes; "procesos de alto riesgo" acota sin dato nuevo.
DK4-092	FIEL	L770	Hindsight gets you to oversimplify history. You will see events as simpler, more linear, and more predictable than they once were.			Parafrasis.
DK4-093	FIEL	L3436-L3438	If you want to influence your organization's culture toward a New View of safety, what are your choices?			Parafrasis.
DK4-094	FIEL	L399-L407; L885	Says what people should have done to prevent the outcome / Asks why it made sense for people to do what they did			La tabla 1.2 contrapone ambas formulaciones.
DK4-095	FIEL	L920; L942	incorporating blunt end policies and priorities and design choices and how these help drive people's goals and practices at the sharp end.			Parafrasis.
DK4-096	FIEL	L2877-L2883	Systems models focus on the whole, not the parts ... System accidents result not from component failures			Parafrasis.
DK4-097	FIEL	L570-L580	ask him to write up his account of what happened and why. And then to publish this account widely throughout the company. If the person would go along with this, then management should drop all further calls for accountability or retribution.			Parafrasis (el libro lo condiciona a que la persona acepte).
DK4-098	FIEL	L3626-L3632; L2883	the potential for having an accident grows as a normal by-product of doing business under normal pressures of resource scarcity and competition.			Parafrasis.
DK4-099	FIEL	L3926; L310	the adverse health and safety impacts are increasingly attributed to workers' own behaviors rather than how work is organized or resourced.			El libro pide preguntarse por el papel propio en crear esas condiciones (L310).
DK4-100	OPERATIVO	L3208-L3218	A New View of safety would replace or at least complement this, at times, with an alternative set of principles		Revisar las politicas de seguridad para reemplazar o al menos complementar sus principios con los de la Nueva Vision.	El libro da los principios; "rediseñar politicas" es concrecion sin dato nuevo.
DK4-101	FIEL	L723-L731	To understand failure, you first have to understand your own reactions to failure.			Parafrasis.
DK4-102	FIEL	L640-L642; L654	Don't ask who is responsible, ask what is responsible.			Parafrasis.
DK4-103	FIEL	L3231	it also lays the basis for the sort of relationship that allows workers to share "bad news" with the boss			Parafrasis.
DK4-104	OPERATIVO	L3137; L3229; L3197-L3199	Instead of seeing safety as an ethical responsibility for those who do the dirty and dangerous work, it can become a bureaucratic accountability that is managed upward in the organization.		Fomentar que la seguridad sea una responsabilidad etica hacia quienes hacen el trabajo, asumida por la linea que trabaja con el dia a dia, y no solo una rendicion de cuentas hacia arriba.	En el libro "responsabilidad hacia abajo" es hacia quienes hacen el trabajo; que recaiga en la linea esta en L3229. El paso mezcla ambas en la misma direccion.
DK4-105	FIEL	L3768; L3777	You want to peg your investments in safety to the level of safety the particular activity has already attained.			Parafrasis (meseta: "the curve of progress is plateauing").
