id	veredicto	lineas	frase_clave	dato	texto_fiel	razon
DK2-054	FIEL	L1886	But the older an aircraft gets, the longer a gear takes to come out and lock into place. ... the gear extension has begun to intrude into other cockpit tasks			Envejecimiento y demandas de tiempo, del caso del libro.
DK2-078	OPERATIVO	L1888	Combine this with a system that, in many aircraft, never warns pilots that their spoilers are not armed; a spoiler handle that sits over to one side ... whose difference between armed and not-armed may be all of one inch		Identificar en el sistema la ausencia de avisos y los mandos o indicaciones poco distinguibles, como en el caso de los spoilers	Generaliza en instruccion los rasgos del ejemplo de los spoilers; misma direccion, sin datos nuevos.
DK2-029	FIEL	L2006; L2027	But the sorts of low-end policy or behavioral recommendations that you can easily get away with organizationally, are never very useful. ... They suggested to people to stare harder, try more, follow the rules, be careful. None of that worked.			Parafrasis.
DK2-032	OPERATIVO	L2019-L2023; L2027	explanatory factors which explain the data from one particular sequence of events ... It identified the typical explanatory factors: time pressure, people sticking their hands in places		Distinguir en la investigación los factores explicativos, que explican esa secuencia concreta de eventos	El libro distingue los factores explicativos; listarlos es concrecion operativa.
DK2-037	OPERATIVO	L2029	The change factor came when someone identified that more than 80 percent of the injuries occurred during unscheduled maintenance along the dusty roads of the mine		Buscar, como en el caso de la mina, dónde se concentran los incidentes para encontrar una palanca de cambio real	Generaliza el ejemplo de la mina; misma direccion.
DK2-107	FIEL	L2025; L2027	The thing that explains a particular instance of failure does not need to be the same thing that allows your managers to do something about its potential recurrence. ... did little to point the way to prevention or improvement.			Parafrasis.
DK2-071	ANADIDO	L2032-L2044	Time-bound. You may want the implementation of your recommendation to have some kind of suggested expiration date, so decision makers can agree on deadlines for achievement.	plazo maximo de 90 dias desde la publicacion del informe	Asignar a cada recomendación una fecha límite sugerida de implementación, para que los responsables puedan acordar plazos	El libro pide una fecha sugerida sin cifra; el plazo de 90 dias no aparece (buscado 90, ninety, days, months, deadline).
DK2-006	OPERATIVO	L2196-L2204	There is no right or wrong here. Only hindsight can show you whether people should have abandoned one explanation ... you need to acknowledge the existence and importance of this balancing act.		Reconocer el equilibrio entre 'vagabundeo temático' y fijación cognitiva que enfrentaban las personas dentro de la situación	El libro pide reconocer el equilibrio, no evaluarlo, porque solo la retrospectiva dice cual era el correcto.
DK2-011	OPERATIVO	L2174-L2194	People have to make provisional assessments of what is going on based on partial and uncertain data. ... These factors supported their interpretation of the situation		Identificar la interpretación provisional inicial y qué datos la apoyaban en ese momento	Concreta el analisis del caso del combustible; misma direccion.
DK2-059	FIEL	L2160; L2166	People's actions and assessments of what is going on are intertwined. By doing something, people generate more information about the world. ... which in turn updates our understanding, and so forth			Ciclo del sensemaking, Figura 4.1.
DK2-069	OPERATIVO	L2180; L2202	This explanation ... may persist and can get transformed into an assumption that is then taken for granted. ... keep your explanation stable despite newly emerging data		Documentar qué datos nuevos apuntaban a otra explicación y por qué la interpretación inicial persistió	Concreta lo que el libro describe; misma direccion.
DK2-061	FIEL	L2211-L2217	the dual demands of maintaining process integrity while diagnosing the problem, increased crew workload. Their work included: flying the aircraft ... diagnosing the fuel fault ... managing the engine failures			Parafrasis.
DK2-068	OPERATIVO	L2209-L2211	People need to keep the aircraft flying (or the patient breathing) while figuring out what is going wrong. ... the dual demands ... increased crew workload.		Documentar cómo las demandas duales (mantener el proceso y diagnosticar) aumentaron la carga de trabajo	El libro liga las demandas duales a la carga de trabajo; extenderlo a las decisiones es concrecion.
DK2-080	FIEL	L2211	the dual demands of maintaining process integrity while diagnosing the problem, increased crew workload.			Parafrasis directa.
DK2-044	CONTRARIO	L2248-L2252	there seems little mileage in just reminding crews of the situations that demand a go-around ... One promising countermeasure seems to be not to remind crews of the criteria for a stabilized approach, but to offer generic rewards for all the cases in which crews execute a missed approach.	recordar los criterios de aproximacion estabilizada como contramedida principal	No limitarse a recordar a las tripulaciones los criterios de aproximación estabilizada: premiar sin preguntas cada aproximación frustrada	El libro desaconseja expresamente recordar los criterios como contramedida y propone recompensar las aproximaciones frustradas.
DK2-015	OPERATIVO	L2259	investigators found how "the captain and the first officer had been continuously awake for at least 16 hours."		Registrar en las investigaciones cuánto tiempo llevaban despiertos los operadores, como en el caso citado por el libro	Convierte el ejemplo del informe en instruccion; misma direccion.
DK2-025	FIEL	L2257	Using people's self-reports or their judgments of colleagues is not very reliable. Fatigue actually impairs people's judgment about how fatigued they are			Parafrasis directa.
DK2-052	FIEL	L2265-L2275	workload intensity ... physical and psychological exertion; sleep deprivation or other sleep disturbances; time of day effects; circadian desynchronization.			Lista literal.
DK2-106	FIEL	L2287	A "New View" on fatigue would suggest that promising solutions lie in scheduling and rostering, and in other conditions surrounding people's work.			Parafrasis directa.
DK2-096	ANADIDO	L2257; L2287	rest is the only really effective way of dealing with it ... promising solutions lie in scheduling and rostering, and in other conditions surrounding people's work.	descanso minimo de 10 horas entre jornadas	Revisar la programación de turnos y las condiciones del trabajo, porque el descanso es la única forma realmente eficaz de combatir la fatiga	El libro no fija minimo de descanso (buscado rest, ten hours, 10 hours, between shifts); solo cita 16, 14-16, 13 y 5 horas de vigilia.
DK2-005	FIEL	L2381	Another issue is known as display compatibility. To achieve compatibility between the conceptual analog quantity of airspeed ... the display of speed should be analog too (and not digital, not just a number).			Comparacion dial frente a cinta por compatibilidad.
DK2-027	FIEL	L2369-L2371	The new design changes the work associated with figuring out and remembering approach speeds and reduces the cognitive depth of crews' engagement with the task.			Parafrasis.
DK2-077	FIEL	L2353; L2371	New ways of representing and manipulating information may take certain traps and error opportunities away, but they will inevitably open new possible pathways to failure.			Parafrasis directa.
DK2-108	FIEL	L2369-L2371	has made almost all of these earlier crew manipulations of artifacts unnecessary ... There is much less physical manipulation ... less cross-checking and less verbal coordination			Parafrasis.
DK2-002	FIEL	L2403	Labels such as "procedural violation" or "non-compliance" are obviously Old View. They are counterproductive and judgmental labels			Parafrasis directa.
DK2-033	FIEL	L2487	Find out what organizational history or pressures exist behind these routine departures from the routine			Parafrasis directa.
DK2-050	FIEL	L2489	Understand that the rewards of departures from the routine are probably immediate and tangible: happy customers, happy bosses or commanders, money made			Literal.
DK2-097	FIEL	L2493	In most work, contradictory goals are the rule, not the exception.			Literal.
DK2-024	OPERATIVO	L2433; L2978; L4083	Safety improvements come from organizations monitoring and understanding the gap between procedures and practice		Vigilar y entender la brecha entre procedimiento escrito y práctica real también en el trabajo normal, no solo tras incidentes	El libro pide vigilar la brecha y mirar el trabajo normal; 'sistematicamente' es concrecion sin dato nuevo.
DK2-035	OPERATIVO	L2941; L2949-L2965	A group's construction of risk can persist even in the face of continued (and worsening) signals ... This is why high-reliability organizations (HRO) deal with risk by remaining chronically uneasy.		Mantener una inquietud crónica y presencia de la dirección en la primera línea para advertir la normalización de desviaciones	El libro propone inquietud cronica y visibilidad directiva; 'mecanismos de retroalimentacion' concreta sin dato nuevo.
DK2-067	FIEL	L2461	Emphasis on local efficiency or cost effectiveness pushes operational people to achieve or prioritize one goal or a limited set of goals ... whereas it is much more difficult to measure how much is borrowed from safety.			Parafrasis.
DK2-105	FIEL	L2463; L2491	Past success is taken as guarantee of future safety. ... continued absence of adverse consequences may confirm people in their beliefs ... that their behavior was safe			Parafrasis.
DK2-008	OPERATIVO	L2515; L2556-L2568; L2626	it is now being used by others (media, the judiciary) to condemn operators ... Avoid the use of these novel ways of saying 'human error' altogether		Rechazar el uso de 'pérdida de conciencia situacional' como explicación, también en contextos legales o disciplinarios, donde sirve para condenar a los operadores	Misma direccion, pero el libro pide evitar el termino del todo, no solo como sustituto en lo legal.
DK2-048	FIEL	L2138; L2502-L2504	don't use these things ... it is a bad idea because it is simply a new way of saying 'human error.'			Parafrasis directa.
DK2-083	FIEL	L2592	But what is the norm, or the standard relative to which the behavior is "erroneous?" ... But we cannot use hindsight knowledge of the total situation as that norm			Parafrasis.
DK2-092	FIEL	L2521; L2539	Your job is to go down into the tunnel with them, and to understand their awareness. To understand what made sense to them at the time			Parafrasis directa.
DK2-110	OPERATIVO	L2539; L1726-L1730	Your job is to go down into the tunnel with them ... To understand what made sense to them at the time (without knowing the outcome!)		Reconstruir el 'túnel' del operador: qué observaba, qué presiones enfrentaba, qué opciones le parecían razonables	Concreta el tunel; 'disponible' conviene cambiarlo por lo observado, pues el libro separa disponibilidad de observabilidad.
DK2-007	FIEL	L2603	To prove complacency, you first have to show what an optimal sensitivity, attention or commitment would be. ... So you have to define that first.			Parafrasis directa.
DK2-046	FIEL	L2607	If you notice behavior you would like to call "complacent," ask yourself what that is the effect, symptom or result of. Dig deeper.			Parafrasis directa.
DK2-062	FIEL	L2607-L2617	The risk of getting into circular arguments with novel categories such as "loss of situation awareness" or "complacency" is pretty big.			Parafrasis directa.
DK2-099	FIEL	L2605	there is always more to pay attention to ... They were looking at all kinds of things in ways that have developed to be optimal over time.			Parafrasis.
DK2-028	FIEL	L495-L499	where the responsibility for creating--and resolving--that mismatch lies: Is that a matter of personal responsibility for the individual involved? ... Or is it a matter for the organization ... selection and recruitment ... people management			Parafrasis.
DK2-070	FIEL	L495	When you observe a consistent, repeated "Bad Apple" in your operation ... you may be looking at a mismatch between the task and the person.			Parafrasis directa.
DK2-082	FIEL	L499	The less discretionary space people have in their work (that is, the less room they have to adjust their styles ...), the more this responsibility would probably fall on the organization.			Parafrasis.
DK2-022	FIEL	L528-L530	Real work is full of responsibility-authority mismatches ... As a result, work involves efficiency-thoroughness trade-offs (ETTOs), as Erik Hollnagel calls them.			Parafrasis.
DK2-045	FIEL	L524; L532-L536	It is impossible to hold somebody accountable for something over which that person had no authority. ... you need to be able to show that people had the authority to live up to the responsibility			Parafrasis.
DK2-072	OPERATIVO	L526-L530	Into one ear the airlines lecture, "Never break regulations ... Never compromise safety." Yet in the other they whisper, "Don't cost us time. Don't waste our money."		Revisa si te exigen a la vez rapidez y seguridad sin darte autoridad plena sobre las decisiones que llevan al resultado	El libro habla de exigencias contrapuestas y de falta de autoridad; 'tus propias reglas' y 'recursos' concretan sin dato nuevo.
DK2-030	FIEL	L607; L4155	The challenge is to create a culture of accountability that encourages learning. ... how to make accountability and learning work in each other's favor.			Parafrasis.
DK2-043	CONTRARIO	L604-L631	Some organizations use culpability decision trees ... But who gets to say what is white, grey and black in your organization? ... there is no pre-existing line between the categories. There are only people who draw it. ... Sure, you can try to create a "just culture" program based on categories. But sooner or later you will run into all the problems describe above.	definir criterios de conducta sancionable frente a error del sistema	En lugar de fijar categorías de conducta sancionable, preguntar qué es responsable y no quién, con personas que conozcan el trabajo	El libro desaconseja los programas de cultura justa basados en categorias y lineas de culpabilidad; no hay pasaje que las respalde (buscado culpab, sanction, draw the line).
DK2-060	OPERATIVO	L544; L589-L597; L654	Fear of prosecution stifles the flow of information about such conditions. ... A confidential reporting scheme might help you get details about events which would otherwise elude you.		Proteger a quien reporta incidentes, por ejemplo con reportes confidenciales, para que el miedo a la sanción no frene la información	Misma direccion; el libro no habla de 'politicas' como tales pero si de reporte confidencial y del efecto del castigo.
DK2-094	FIEL	L656-L658	Put second victim support in place. ... Strong social and organizational support systems for second victims (psychological first aid, debriefings, follow-up)			Parafrasis directa.
DK2-018	OPERATIVO	L930; L942	The proximal nature of reactions to failure means that expensive organizational lessons can go unlearned. ... incorporating blunt end policies and priorities and design choices		Recoger en el análisis las lecciones del sistema (políticas, prioridades, diseño), no solo las acciones de la persona más cercana	El libro pide mirar el extremo romo; 'documentar' es concrecion sin dato nuevo.
DK2-049	OPERATIVO	L910; L928	Reactions to failure focus firstly and predominantly on those people who were closest to producing or potentially avoiding the mishap.		Comprobar si la reacción al fallo se centra solo en las personas más cercanas en tiempo y lugar al suceso	Convierte la descripcion del sesgo en chequeo; misma direccion.
DK2-058	OPERATIVO	L922; L940	the drivers' union had been complaining about its lack of visibility ... 160 reported cases of Uncommanded Flying Control Movement ... were not looked into seriously.		Buscar vulnerabilidades del sistema ya señaladas antes, como quejas o casos reportados que no se estudiaron	Generaliza los ejemplos de Ladbroke Grove y el helicoptero; misma direccion.
DK2-100	FIEL	L938	Potentially disruptive (and expensive) lessons about the system as a whole can get transformed into isolated hiccups ... This transformation relieves the organization of any need to change views and beliefs, or associated investments and spending priorities.			Parafrasis.
DK2-038	FIEL	L812-L822; L868; L885	"they shouldn't have..." "they could have..." "they didn't..." "they failed to..." ... stop saying what people failed to do or should have done.			Parafrasis directa.
DK2-057	FIEL	L843; L862	What people did and chose must have made sense to them given their goals, knowledge and attention at the time. ... Only there can you begin to see why it made sense for people to do what they did.			Parafrasis.
DK2-088	FIEL	L889; L905	How could their actions have made sense? ... How could it have made sense for the crew to attain and confirm their interpretation, and to consequently do what they did?			Parafrasis directa.
DK2-016	FIEL	L2858	The reason was that the supposed added barrier (the extra nurse who needed to re-calculate) was not independent from the first one.			Parafrasis.
DK2-031	FIEL	L2858	Nurses know each other. They know each other's work. ... barriers consisting of people who know each other (and each other's work) are not independent at all.			Parafrasis.
DK2-004	OPERATIVO	L2858	It turned out, however, that this ward actually began having more medication adverse events.		Comprobar si, tras añadir un control redundante, los eventos adversos aumentan en lugar de bajar, como en la sala del hospital	El libro muestra el efecto con los eventos adversos de la sala; medir antes y despues es concrecion sin cifra ni herramienta.
DK2-084	OPERATIVO	L2858	barriers consisting of people who know each other (and each other's work) are not independent at all. They interact in ways to actually erode both.		Revisar los procesos de verificación para que las barreras humanas no sean personas que se conocen y confían en el trabajo del otro	El libro describe la falacia pero no propone rediseno; concrecion en su misma direccion.
DK2-010	FIEL	L3973	how incentive structures governing people's performance may actually have encouraged a focus on economic or efficiency goals, with safety being taken for granted			Parafrasis directa.
DK2-017	FIEL	L3981-L3985	there could be a window in which there is more openness to learning ... traditional lines between management and operators ... may be temporarily blurred in joint efforts to find out what went wrong and why			Parafrasis.
DK2-047	FIEL	L3971	how the entire system may have drifted toward the boundaries of safe performance			Parafrasis directa.
DK2-079	OPERATIVO	L3979-L3981	how organizational models about the sources of risk, and organizational plans for how to deal with risk, may have been wrong or incomplete. Hard fixes change something fundamental about the organization.		Revisar y cambiar los modelos organizacionales sobre el riesgo si el fallo muestra que eran erróneos o incompletos	El libro lista lo que el fallo puede mostrar y pide arreglos de fondo; 'actualizar' es concrecion.
DK2-090	FIEL	L3969	how otherwise legitimate trade-offs between safety and goals such as production or efficiency may have made it increasingly difficult for people to create safety through practice			Parafrasis directa.
DK2-014	OPERATIVO	L4126; L3971	such gradual shifts are necessary for an organization to adapt and survive in a competitive environment, to explore and experiment with better, more efficient ways of doing things.		Examinar cómo la exploración y experimentación en busca de eficiencia desplaza poco a poco el equilibrio con la seguridad	El libro presenta esa exploracion como necesaria y ligada a la deriva; el paso la concreta sin dato nuevo.
DK2-040	OPERATIVO	L2941; L4126	Diane Vaughan called this process of drift "normalization of deviance." ... the gradual normalization of what was previously seen as deviant or unacceptable.		Identificar prácticas antes vistas como inaceptables que se han vuelto normales con el tiempo	'Sin evaluacion critica' no esta en el libro; misma direccion.
DK2-074	FIEL	L3650-L3654; L4126	Charles Perrow explained how the potential for failure is a structural property of complex, interactive and tightly coupled systems.			Parafrasis directa.
DK2-102	OPERATIVO	L2849; L2926	What about the historical trajectory in an organization along which the nature and extent of risk was renegotiated? ... each step along the way is typically only a small increment		Reconstruir la trayectoria histórica de pequeños pasos por la que se renegoció el riesgo aceptable	Concreta lo que el libro describe; misma direccion.
DK2-009	FIEL	L3078	You should expect staff members to want to be educated in safety management, incident/accident investigation, report writing, presentation and so forth.			Parafrasis directa.
DK2-036	FIEL	L3074	An end to weekly or monthly or quarterly targets. Safety is not something that the safety department produces, so targets make little sense.			Literal.
DK2-075	FIEL	L3070	Significant and independent resources (both human and monetary). These resources must be independent of production or financial fluctuations			Parafrasis directa.
DK2-085	FIEL	L3076	A continued grounding in operational reality. ... make sure you do not let one professional group ... dominate your department			Parafrasis directa.
DK2-093	FIEL	L3072	A constructive involvement in management activities and decisions that affect trade-offs between safety and efficiency			Parafrasis.
DK2-003	FIEL	L3051	getting excluded from organizational activities and decisions that affect the trade-off across production and safety goals			Riesgo del staff; auditarlo es parafrasis.
DK2-039	FIEL	L3043; L3084	being a mere arms-length tabulator of largely irrelevant or unusable data ... Useable safety intelligence, as opposed to distant tabulations of statistical data.			Parafrasis.
DK2-063	FIEL	L3074; L3109	If your organization has incentives associated with meeting targets like these, you will quickly find that operational areas ... will adjust their reporting ... Incentive structures around the absence of negatives can get people to suppress bad news			Parafrasis.
DK2-103	FIEL	L3096-L3098; L3103	His office was located right next to the crew room ... The safety manager was said to be in need of a map to find his way on the plant site ... more and more removed--organizationally, culturally, psychologically--from those who do safety-critical work			Parafrasis de los dos casos y la conclusion.
DK2-012	FIEL	L3224	It is unlikely that the same group of people can do it all: a constructive interplay or conversation between line and staff, between experts and others is probably necessary.			Parafrasis.
DK2-020	OPERATIVO	L3220-L3224	Operational expertise is indispensible ... But an ability to step back from those messy details and view the complex organizational web ... is necessary too.		Identificar quiénes aportan la experiencia operativa y quiénes la visión del conjunto organizacional	Paso preparatorio implicito en el libro; sin dato nuevo.
DK2-021	OPERATIVO	L3220	They may be so successful with it, however, that they, too, can miss potentially dangerous side effects of the way they have adapted their work to meet those constraints.		Examinar qué efectos secundarios peligrosos pueden tener las adaptaciones locales del trabajo, invisibles para los propios expertos	Concreta lo que el libro describe; misma direccion.
DK2-104	OPERATIVO	L3224	a constructive interplay or conversation between line and staff, between experts and others is probably necessary.		Crear espacios de conversación constructiva entre línea y staff	El libro pide la conversacion; 'regular' es concrecion sin frecuencia concreta.
DK2-064	FIEL	L3287	shared accountability after having committed to decisions ... peers do it instead. Such accountability is typically forward-looking, not backward-looking			Parafrasis directa.
DK2-065	FIEL	L3283	comfortable with what is known as constructive conflict ... There is no hesitation to disagree, challenge and question			Parafrasis.
DK2-076	FIEL	L3281	building trust, with a comfort about being vulnerable and honest with each other when it comes to weaknesses or mistakes			Parafrasis directa.
DK2-095	FIEL	L3285	a decision process where people can participate and which they feel is something they have contributed to			Parafrasis.
DK2-019	FIEL	L3813	the incidents you are still having at the thin edge of the wedge may actually be markers of resilience you should celebrate; more than markers of risk that you should try to further control.			Parafrasis directa.
DK2-066	FIEL	L3805	Your organization may have labeled them as one of the "top five" or "top three" risk priorities that needs to be controlled			Parafrasis.
DK2-081	FIEL	L3805; L3848	pulling both attention and organizational resources away from other possible sources of risk. These may as yet be unknown. Or they may be known but not believed to be very dangerous.			Parafrasis.
DK2-087	FIEL	L3805	Such decoy phenomena are strong in pulling both attention and organizational resources away from other possible sources of risk. ... they may devote so much time to one or a few issues that they lose sight of the rest.			Parafrasis.
