id	veredicto	lineas	frase_clave	dato	texto_fiel	razon
SB2-022	OPERATIVO	L1791	A worksite receives a deferral from OSHA or State Plan programmed inspections during the period that its SHARP designation is valid.		Si obtienes la designacion SHARP, tu lugar de trabajo queda con las inspecciones programadas de OSHA o del Plan Estatal aplazadas mientras la designacion este vigente.	El libro habla de aplazamiento de las inspecciones programadas mientras la designacion es valida; exento es una lectura en la misma direccion, pero conviene precisar que dura solo mientras la designacion este vigente.
SB2-027	OPERATIVO	L1851	Most OSHA Strategic Partnerships are based out of local OSHA Area or Regional Offices.		Las Asociaciones Estrategicas de OSHA se gestionan en su mayoria desde las Oficinas de Area o Regionales locales de OSHA: acude a la de tu zona para explorar una.	El libro dice que la mayoria de las Asociaciones Estrategicas salen de las oficinas de area o regionales; contactarlas es la concrecion natural, sin dato nuevo.
SB2-033	FIEL	L491	The plan address procedures for assisting people during evacuations, particularly those with disabilities or who do not speak English.			Parafrasis del libro; idioma local adapta do not speak English a cualquier mercado.
SB2-039	FIEL	L259-L261	Injury and illness records (OSHA 300, 300A, and 301) are kept at the worksite for at least five years. Worker medical and exposure records are retained for the time period required for each specific type of record.			El libro pide conservar los registros de lesiones un minimo (cinco anos en EE. UU.) y los medicos por el periodo que exija cada tipo; el paso lo generaliza al minimo que exija el mercado sin cambiar el sentido.
SB2-045	FIEL	L1423	Workers designated to wear tight-fitting respirators are fit-tested before their first use of a respirator and at least annually thereafter.			Coincide con el libro en momento (antes del primer uso) y frecuencia (al menos anual).
SB2-051	FIEL	L1851	To participate, employers must submit an application to OSHA and undergo a rigorous onsite evaluation by a team of safety and health professionals.			El libro exige solicitud y evaluacion en sitio para VPP; el paso lo dice.
SB2-053	CONTRARIO	L1339-L1345	A trained and equipped attendant is positioned outside the confined space, whose sole responsibility is to watch the work in progress, sound an alarm if necessary, and render assistance.	asignar al vigilante tareas adicionales (alcanzar herramientas, registrar lecturas)	Mantener afuera del espacio confinado un vigilante capacitado y equipado cuya unica responsabilidad sea vigilar el trabajo en curso, dar la alarma si hace falta y prestar asistencia, manteniendo comunicacion con quien entro.	El libro dice que la unica responsabilidad del vigilante es vigilar, alarmar y asistir; buscado attendant y sole responsib en todo el libro, ningun pasaje apoya darle otras tareas.
SB2-054	OPERATIVO	L319	Workers who regularly work on or around energized electrical equipment or lines are instructed in cardiopulmonary resuscitation (CPR).		Asegurar que tu y quienes trabajan de forma regular en o cerca de equipos o lineas electricas energizadas esten instruidos en RCP.	El libro pide RCP para quien trabaja regularmente con equipos o lineas energizadas; expuesto a la electricidad es una formulacion mas vaga en la misma direccion, sin dato nuevo.
SB2-055	CONTRARIO	L1201-L1205	PIT operator performance is evaluated at least once every three years, and workers are retrained as necessary.	cada cinco anos	Reevaluar el desempeno de cada operador de montacargas al menos una vez cada tres anos y volver a capacitarlo cuando haga falta.	El libro fija el plazo en tres anos; el paso da cinco, un plazo distinto para el mismo dato.
SB2-060	OPERATIVO	L855-L859	Rest breaks are provided and their length and frequency are adjusted, as needed.		Proveer liquidos (agua potable fresca, bebidas deportivas), sombra o un area fresca para descansar, y descansos cuya duracion y frecuencia se ajusten segun haga falta.	Agua, sombra y descansos estan en el libro; frecuentes resume el ajuste de frecuencia segun necesidad, en la misma direccion y sin cifra nueva.
SB2-061	FIEL	L1229	Unauthorized workers are not permitted to ride on PITs.			Traduccion directa del libro.
SB2-065	OPERATIVO	L1985-L1987	Have a penalty reduction policy for small businesses		Si recibes una citacion, ten presente que OSHA debe tener una politica de reduccion de penalidades para pequenos negocios y pregunta si te aplica.	El libro dice que la ley obliga a OSHA a tener esa politica; preguntar por ella ante una citacion concreta su uso sin dato nuevo.
SB2-068	FIEL	L1237-L1239	PITs are inspected at the beginning of each work shift for any safety concerns. PITs in need of repair are removed from service immediately.			Coincide con el libro: inspeccion al inicio de cada turno y retiro de servicio de los que necesiten reparacion.
SB2-069	OPERATIVO	L1985-L1987	Involve small businesses in developing proposed rules expected to significantly affect a large number of small entities through Small Business Advocacy Review Panels.		Si una regla propuesta se espera que afecte de forma importante a un gran numero de pequenos negocios, puedes participar en su desarrollo a traves de los Paneles de Revision de Defensa de la Pequena Empresa.	El libro respalda la participacion en los paneles; el paso cambia la condicion (que te afecte a ti) por la del libro (que afecte a muchas pequenas entidades), sin cifra ni plazo nuevo.
SB2-075	OPERATIVO	L869-L879	Recognizing the signs and symptoms of heat-related injuries and illnesses. ... Administering first aid and CPR for heat-related illness.		Capacitar a supervisores y trabajadores, en un idioma que entiendan, para reconocer los signos y sintomas de las lesiones y enfermedades por calor y para dar primeros auxilios y RCP ante una enfermedad por calor.	El libro pide esa capacitacion para enfermedades por calor en general; golpe de calor la estrecha a un caso (buscado stroke: solo aparece en otro sentido, L519), en la misma direccion.
SB2-078	ANADIDO	L1851	The OSHA Alliance Program enables the agency to develop voluntary, collaborative working relationships with organizations that are committed to workplace safety and health.	la Alianza se establece entre tu negocio y asociaciones o sindicatos (en el libro es entre OSHA y esas organizaciones)	Aprovecha el Programa de Alianzas de OSHA, en el que OSHA trabaja con organizaciones como asociaciones comerciales y profesionales o sindicatos para compartir informacion sobre sus iniciativas y recursos de cumplimiento y educar sobre derechos y responsabilidades.	En el libro la Alianza es una relacion entre OSHA y organizaciones; el paso pone como contraparte a las asociaciones o sindicatos, algo que el libro no respalda (buscado Alliance: solo L1851).
SB2-079	OPERATIVO	L515-L519	All exits are marked with exit signs that are illuminated either internally or by a reliable light source.		Senalizar todas las salidas con letreros EXIT iluminados (por dentro o con una fuente de luz confiable) y marcar con letreros visibles las rutas hacia las salidas cuando no sean evidentes.	El libro pide letrero iluminado en todas las salidas y senal visible en las rutas cuando no son evidentes; en todas las rutas mezcla ambas cosas, en la misma direccion y sin dato nuevo.
SB2-083	OPERATIVO	L1837, L1985-L1987	Be responsive to small business inquiries about complying with the Agency's regulations		Consulta a OSHA (su sitio web, la Oficina de Area mas cercana o el programa estatal de consulta en sitio) cuando tengas dudas sobre como cumplir una norma.	El libro dice que OSHA debe responder las consultas de los pequenos negocios y que ante dudas se contacte a la oficina de area; hacerlo antes de una citacion concreta eso sin dato nuevo.
SB2-084	ANADIDO	L1857-L1859	Protection from retaliation means that an employer cannot retaliate by taking adverse action against workers, such as: ... Disciplining	practica de documentar las acciones disciplinarias para desligarlas de la denuncia	No tomes ninguna accion adversa contra quien ejercio sus derechos de seguridad y salud: despedir, degradar, disciplinar, negar horas extra, ascensos o beneficios, intimidar, amenazar, reducir paga u horas o acusarlo falsamente de bajo desempeno, entre otras.	El libro solo menciona la disciplina como represalia prohibida; buscado document y disciplin en todo el libro, no hay nada sobre documentar acciones disciplinarias.
SB2-085	FIEL	L1717-L1733	Workers under 18 do not do any hazardous work or operate hazardous equipment prohibited by state and federal child labor laws .			El libro lista las reglas de trabajo infantil por edad (menores de 16, 17 y 18); verificar su cumplimiento segun la edad es lo que dice la lista.
SB2-087	OPERATIVO	L1785	employers request a consultation visit from their local Consultation program and determine the scope of the visit. The visit may focus on a single concern at a facility or it may involve a thorough hazard assessment of an entire facility and its operations.		Al pedir la visita, define el alcance: puede centrarse en una sola preocupacion o ser una evaluacion completa de peligros de toda la instalacion y sus operaciones.	El libro dice que es el empleador quien determina el alcance; decidirlo junto al consultor es un matiz en la misma direccion, sin dato nuevo.
SB2-091	CONTRARIO	L265	All work-related fatalities are reported to OSHA within 8 hours. All work-related in-patient hospitalizations, amputations, and loss of an eye are reported to OSHA within 24 hours.	de inmediato (el libro da 8 horas para una fatalidad)	Reporta a la autoridad una fatalidad laboral dentro de las pocas horas que fije tu mercado (en el libro, 8 horas ante OSHA) y una hospitalizacion, amputacion o perdida de un ojo dentro del plazo corto que fije tu mercado (en el libro, 24 horas).	El libro da un plazo concreto para la fatalidad (8 horas, tambien L933); el paso lo cambia por de inmediato, otro plazo para el mismo dato.
SB2-092	ANADIDO	L581	Fire alarm system has been certified, is in proper working condition, and is tested annually.	certificacion una vez al ano (el libro solo da frecuencia anual para la prueba)	Asegurate de que tu sistema de alarma contra incendios este certificado, funcione bien y se pruebe una vez al ano.	El libro pide que el sistema este certificado y que se pruebe cada ano; buscado certif en todo el libro, no hay frecuencia anual para la certificacion.
SB2-093	OPERATIVO	L325	Cord-connected, electrically operated tools and equipment are effectively grounded or of the approved double insulated type.		Asegurar que las herramientas y equipos electricos conectados por cable esten efectivamente conectados a tierra o sean del tipo de doble aislamiento aprobado.	El libro pide conexion a tierra o doble aislamiento aprobado; el paso omite la alternativa, pero va en la misma direccion y sin dato nuevo.
SB2-095	OPERATIVO	L1729	If required by state law, all workers under 18 have a valid work permit issued by their school district or another designated agency.		Si la ley de tu pais o region lo exige, verificar que cada trabajador menor de 18 tenga un permiso de trabajo valido emitido por su distrito escolar u otra agencia designada.	El libro pide que los menores de 18 tengan permiso valido si la ley lo exige; el paso lo concreta como tarea del empleador sin dato nuevo.
SB2-101	FIEL	L425	Where exit doors open directly onto a street, alley, or other area where vehicles may be operated, adequate barriers and warnings are provided to prevent workers from stepping into the path of traffic.			Barreras y advertencias donde las salidas dan a zonas con vehiculos: lo dice el libro.
SB2-103	OPERATIVO	L1861	A worker must file a retaliation complaint with OSHA within 30 calendar days from the date the retaliatory decision has been both made and communicated to the worker.		Si alguien de tu equipo cree haber sufrido represalias, tiene que contactar de inmediato a la autoridad de tu mercado y presentar la queja dentro del plazo legal (en el libro, 30 dias calendario ante OSHA desde que la decision se tomo y se le comunico).	El libro dice que el trabajador debe contactar a la autoridad dentro del plazo; que el empleador lo ayude no esta en el libro pero va en su misma direccion y no anade cifra ni plazo.
SB2-106	OPERATIVO	L1855, L1761	Section 11(c) of the OSH Act prohibits any person from firing or in any manner retaliating against any worker for exercising rights under the OSH Act.		Deja claro en tu negocio que no habra represalias (despido, degradacion, disciplina u otras) contra quien plantee un problema de seguridad, reporte una lesion o participe en una inspeccion.	La ley del libro prohibe las represalias y la lista de jovenes pide que sepan que no seran despedidos ni disciplinados por reportar (L1761); una politica interna concreta eso sin dato nuevo.
SB2-109	OPERATIVO	L1783	work with employers to identify safety and health hazards in workplaces and how to fix them.		Corrige los peligros que identifiques con el consultor, siguiendo sus indicaciones sobre como resolverlos.	El consultor ayuda a identificar peligros y como corregirlos; aplicar esas recomendaciones es la concrecion directa, sin dato nuevo.
SB2-114	ANADIDO	L277	Cylinders are regularly examined for obvious signs of defects, deep rusting, and leakage.	cada trimestre	Revisar con regularidad los cilindros en busca de signos evidentes de defectos, oxido profundo y fugas.	El libro dice regularmente sin frecuencia; buscado quarter, trimest y 3 month en todo el libro sin resultado.
SB2-116	FIEL	L823-L835	Are any of these job-related risk factors for heat exposure present in your workplace?			El libro abre con la evaluacion de los factores de riesgo de calor presentes; el paso lo dice.
SB2-119	CONTRARIO	L1479	Toeboards are installed around the edges of permanent floor holes where persons may pass below the hole.	donde transite personal (el libro: donde pueda pasar gente por debajo de la abertura)	Colocar rodapies alrededor de los bordes de las aberturas permanentes de piso donde pueda pasar gente por debajo de la abertura.	La condicion del libro es que haya gente pasando por debajo (proteger de objetos que caen, L1441); el paso la cambia por transito de personal junto al borde, otra condicion para el mismo dato. Buscado toeboard: ningun pasaje apoya la condicion del paso.
